,Mark,Competitor,country,date
0,206.0,Hicham EL GUERROUJ,MAR,14 JUL 1998
1,207.37,Noureddine MORCELI,ALG,12 JUL 1995
2,208.86,Noureddine MORCELI,ALG,06 SEP 1992
3,209.46,Saïd AOUITA,MAR,23 AUG 1985
4,209.67,Steve CRAM,GBR,16 JUL 1985
5,210.77,Steve OVETT,GBR,04 SEP 1983
6,211.24,Sydney MAREE,USA,28 AUG 1983
7,211.36,Steve OVETT,GBR,27 AUG 1980
8,212.1,Steve OVETT,GBR,15 JUL 1980
9,212.1,Sebastian COE,GBR,15 AUG 1979
10,212.2,Filbert BAYI,TAN,02 FEB 1974
11,213.1,Jim RYUN,USA,08 JUL 1967
12,215.6,Herb ELLIOTT,AUS,06 SEP 1960
13,216.0,Herb ELLIOTT,AUS,28 AUG 1958
14,218.1,Stanislav JUNGWIRTH,TCH,12 JUL 1957
15,220.2,Olavi SALONEN,FIN,11 JUL 1957
16,220.2,Olavi SALSOLA,FIN,11 JUL 1957
17,220.6,István RÓZSAVÖLGYI,HUN,03 AUG 1956
18,220.8,Gunnar NIELSEN,DEN,06 SEP 1955
19,220.8,László TÁBORI,HUN,06 SEP 1955
20,220.8,Sándor IHAROS,HUN,28 JUL 1955
21,221.8,John LANDY,AUS,21 JUN 1954
22,222.8,Wes SANTEE,USA,04 JUN 1954
23,223.0,Werner LUEG,FRG,29 JUN 1952
24,223.0,Lennart STRAND,SWE,15 JUL 1947
25,223.0,Gunder HÄGG,SWE,07 JUL 1944
26,225.0,Arne ANDERSSON,SWE,17 AUG 1943
27,225.8,Gunder HÄGG,SWE,17 JUL 1942
28,227.6,Gunder HÄGG,SWE,10 AUG 1941
29,227.8,Jack LOVELOCK,NZL,06 AUG 1936
30,228.8,Bill BONTHRON,USA,30 JUN 1934
31,229.0,Luigi BECCALI,ITA,17 SEP 1933
32,229.2,Luigi BECCALI,ITA,09 SEP 1933
33,229.2,Jules LADOUMÈGUE,FRA,05 OCT 1930
34,231.0,Otto PELTZER,GER,11 SEP 1926
35,232.6,Paavo NURMI,FIN,19 JUN 1924
36,234.7,John ZANDER,SWE,05 AUG 1917
37,235.8,Abel KIVIAT,USA,06 AUG 1912
38,239.2,Abel KIVIAT,USA,16 MAY 1912
39,239.8,Wilson,UK,30 MAY 1908
40,245.4,Lightbody,USA,03 SEP 1904
41,246.2,Bennett,UK,15 JUL 1900
42,250.4,Lermusiaux,FRA,28 JUN 1896
43,273.2,Flack,AUS,30 MAR 1896
